Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libatm1 |	BSD, GPL-2, LGPL-2	|Source Code|	The package can be distributed or modified under GPL-2, as per the COPYING file. However, different source components/parts of the source code are provided under different licenses. COPYING.GPL and COPYING.LGPL are part of the main source tree|	https://sourceforge.net/projects/linux-atm/|
libdns-export162 |	GPL-2.0+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/bind9/bind9_9.10.3.dfsg.P4-8ubuntu1.2/copyright|
libisc-export160 |	ISC	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/bind9/bind9_9.10.3.dfsg.P4-8ubuntu1.2/copyright|
libnuma1 |	LGPL-2.2	|NA UI|	Source Package libnuma|	NA|
libnuma-dev |	LGPL-2.1	|NA UI|	Source Package libnuma|	NA|
libpython3.5-minimal |	Apache-2.0	|NA|	part of python |	NA|
libtxc-dxtn-s2tc0 |	Expat	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/s/s2tc/s2tc_0~git20131104-1.1/copyright|
libxxf86dga1 |	MIT	|openhub.net|	Under xorg - https://cgit.freedesktop.org/ |	https://www.openhub.net/p/x|
python3.5-minimal |	Apache-2.0	|NA|	part of python |	NA|
sgml-base |	GPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/s/sgml-base/sgml-base_1.26+nmu4ubuntu1/copyright|
x11-utils |	MIT	|openhub.net|	Under xorg - https://cgit.freedesktop.org/ |	https://www.openhub.net/p/x|
x11-xserver-utils |	Various	|ubuntu.com|	This is a collection of X11 utilities and they come with different licenses.|	http://changelogs.ubuntu.com/changelogs/pool/main/x/x11-xserver-utils/x11-xserver-utils_7.7+7/copyright|
xdg-user-dirs |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xdg-user-dirs/xdg-user-dirs_0.15-2ubuntu6/copyright|
xml-core |	GPL-2	|source code|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xml-core/xml-core_0.13+nmu2/copyright|
pytorch|BSD 3-clause "New" or "Revised" License|openhub.net|NA|https://www.openhub.net/p/pytorch
