Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
cmake | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libarchive13 | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
cmake-data | (BSD-2-Clause OR BSD-3-Clause OR BSD-4-Clause) | NA | True | NA
libuv1 |	MIT	|NA|	part of libuv|	NA|
libjsoncpp1  | GPL-3+,Expat_or_PublicDomain_or_DualExpatPD | Copyright_File     |  Expat_or_PublicDomain_or_DualExpatPD(*),GPL-3+(debian/*), |  NA 
jsoncpp|MIT License|openhub.net|NA|https://www.openhub.net/p/jsoncpp
