Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
mkdirp| MIT| Container| NA| NA
nan| MIT| Container| NA| NA
natural-compare| MIT| Container| NA| NA
nise| BSD-3-Clause| Container| NA| NA
node| ISC| Container| NA| NA
node-gyp| MIT| Container| NA| NA
nodemon| MIT| Container| NA| NA
node-sass| MIT| Container| NA| NA
node-watch| MIT| Container| NA| NA
nopter| | Container| NA| NA
normalize-range| MIT| Container| NA| NA
normalize-selector| MIT| Container| NA| NA
npmlog| ISC| Container| NA| NA
npm-run-all| MIT| Container| NA| NA
num2fraction| MIT| Container| NA| NA
once| ISC| Container| NA| NA
opencollective| MIT| Container| NA| NA
opener| (WTFPL OR MIT)| Container| NA| NA
optimist| MIT/X11| Container| NA| NA
optionator| MIT| Container| NA| NA
ora| MIT| Container| NA| NA
output-file-sync| ISC| Container| NA| NA
parse5| MIT| Container| NA| NA
parser| | Container| NA| NA
path-is-absolute| MIT| Container| NA| NA
path-is-inside| (WTFPL OR MIT)| Container| NA| NA
phantomjs| Apache-2.0| Container| NA| NA
pidtree| MIT| Container| NA| NA
pify| MIT| Container| NA| NA
plugin-proposal-async-generator-functions| | Container| NA| NA
plugin-proposal-json-strings| | Container| NA| NA
plugin-proposal-object-rest-spread| | Container| NA| NA
plugin-proposal-optional-catch-binding| | Container| NA| NA
plugin-proposal-unicode-property-regex| | Container| NA| NA
plugin-syntax-async-generators| | Container| NA| NA
plugin-syntax-json-strings| | Container| NA| NA
plugin-syntax-object-rest-spread| | Container| NA| NA
plugin-syntax-optional-catch-binding| | Container| NA| NA
plugin-transform-arrow-functions| | Container| NA| NA
plugin-transform-async-to-generator| | Container| NA| NA
plugin-transform-block-scoped-functions| | Container| NA| NA
plugin-transform-block-scoping| | Container| NA| NA
plugin-transform-classes| | Container| NA| NA
plugin-transform-computed-properties| | Container| NA| NA
plugin-transform-destructuring| | Container| NA| NA
plugin-transform-dotall-regex| | Container| NA| NA
plugin-transform-duplicate-keys| | Container| NA| NA
plugin-transform-exponentiation-operator| | Container| NA| NA
plugin-transform-for-of| | Container| NA| NA
plugin-transform-function-name| | Container| NA| NA
plugin-transform-literals| | Container| NA| NA
plugin-transform-modules-amd| | Container| NA| NA
plugin-transform-modules-commonjs| | Container| NA| NA
plugin-transform-modules-systemjs| | Container| NA| NA
plugin-transform-modules-umd| | Container| NA| NA
plugin-transform-named-capturing-groups-regex| | Container| NA| NA
plugin-transform-new-target| | Container| NA| NA
plugin-transform-object-super| | Container| NA| NA
plugin-transform-parameters| | Container| NA| NA
plugin-transform-regenerator| | Container| NA| NA
plugin-transform-shorthand-properties| | Container| NA| NA
plugin-transform-spread| | Container| NA| NA
plugin-transform-sticky-regex| | Container| NA| NA
plugin-transform-template-literals| | Container| NA| NA
plugin-transform-typeof-symbol| | Container| NA| NA
plugin-transform-unicode-regex| | Container| NA| NA
pluralize| MIT| Container| NA| NA
popper.js| MIT| Container| NA| NA
portfinder| MIT| Container| NA| NA
postcss| MIT| Container| NA| NA
postcss-cli| MIT| Container| NA| NA
postcss-html| MIT| Container| NA| NA
postcss-jsx| MIT| Container| NA| NA
postcss-less| MIT| Container| NA| NA
postcss-load-config| MIT| Container| NA| NA
postcss-markdown| MIT| Container| NA| NA
postcss-media-query-parser| MIT| Container| NA| NA
postcss-reporter| MIT| Container| NA| NA
postcss-resolve-nested-selector| MIT| Container| NA| NA
postcss-safe-parser| MIT| Container| NA| NA
postcss-sass| MIT| Container| NA| NA
postcss-scss| MIT| Container| NA| NA
postcss-selector-parser| MIT| Container| NA| NA
postcss-syntax| MIT| Container| NA| NA
postcss-value-parser| MIT| Container| NA| NA
preset-env| | Container| NA| NA
prettycli| MIT| Container| NA| NA
pretty-hrtime| MIT| Container| NA| NA
progress| MIT| Container| NA| NA
pstree.remy| MIT| Container| NA| NA
q| MIT| Container| NA| NA
qjobs| MIT| Container| NA| NA
qunit| MIT| Container| NA| NA
range-parser| MIT| Container| NA| NA
read-cache| MIT| Container| NA| NA
read-pkg| MIT| Container| NA| NA
read-pkg-up| MIT| Container| NA| NA
rechoir| MIT| Container| NA| NA
regexpp| MIT| Container| NA| NA
request| Apache-2.0| Container| NA| NA
request-progress| MIT| Container| NA| NA
resolve| MIT| Container| NA| NA
resolve-from| MIT| Container| NA| NA
rimraf| ISC| Container| NA| NA
robot-directives| MIT| Container| NA| NA
robots-txt-guard| MIT| Container| NA| NA
robots-txt-parse| MIT| Container| NA| NA
rollup| MIT| Container| NA| NA
