ca-certificates      ,	GPL-2+, MPL-2.0	,ubuntu.com,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/c/ca-certificates/ca-certificates_20160104ubuntu1/copyright,
file ,	BSD-3-Clause	,WICC4D CLI,	NA,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fonts-dejavu/fonts-dejavu_2.35-1/copyright,
gir1.2-glib-2.0 ,	 BSD-2-Clause,MIT	,WICC4D CLI,	NA,	NA,
libc6-dev ,	 BSD-3-Clause	,WICC4D CLI,	NA,	NA,
libc-dev-bin ,	 BSD-3-Clause	,WICC4D CLI,	NA,	NA,
libdbus-1-3 ,	 AFL-2.1,BSD-3-Clause,GPL-2.0,MIT	,WICC4D CLI,	NA,	NA,
libexpat1 ,	MITÂ 	,WICC4D,	part of expat ,	NA,
libexpat1-dev ,	 MIT	,WICC4D CLI,	NA,	NA,
libfakeroot ,	GPL,Artistic	,ubuntu.com,	Part of: fakeroot,	http://changelogs.ubuntu.com/changelogs/pool/main/f/fakeroot/fakeroot_1.20.2-1ubuntu1/copyright,
libgirepository-1.0-1 ,	 BSD-2-Clause,MIT	,WICC4D CLI,	NA,	NA,
libglib2.0-0 ,	GPL-2,LGPL-2	,WICC4D,	part of glib,	NA,
libmagic1 ,	 BSD-3-Clause	,WICC4D CLI,	NA,	NA,
libpython2.7-minimal ,	Apache-2.0	,WICC4D,	part of python,	NA,
libpython2.7-stdlib ,	Apache-2.0	,WICC4D,	part of python,	NA,
libpython-stdlib ,	 MIT,Python-2.0	,WICC4D CLI,	NA,	NA,
libssl1.0.0 ,	BSD-4-Clause	,WICC4D,	part of openssl,	NA,
libxau6 ,	MIT	,WICC4D,	part of libxau,	NA,
libxext6 ,	MIT	,WICC4D,	part of libxext ,	NA,
libxml2 ,	MIT	,WICC4D,	NA,	NA,
linux-libc-dev ,	 BSD-3-Clause	,WICC4D CLI,	NA,	NA,
manpages ,	GPL-2+, BSD-3-clause, BSD-4-clause, BSD-4-clause and verbatim, Expat, GPL-2, GPL-2+ and verbatim, LDPv1, freely-redistributable, henry-spencer-regex, public-domain, verbatim	,ubuntu.com,	Here all licenses are required as different manpages are available under different Licenses,	http://changelogs.ubuntu.com/changelogs/pool/main/m/manpages/manpages_4.04-2/copyright,
