Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
python3 |	Apache-2.0	|NA|	part of python |	NA|
python-all |	GPL,Python 2.0	|ubuntu.com|	Source PackageÂ python-defaults:|	http://changelogs.ubuntu.com/changelogs/pool/main/p/python-defaults/python-defaults_2.7.11-1/copyright|
python-all-dev |	GPL,Python 2.0	|ubuntu.com|	Source PackageÂ python-defaults:|	NA|
python-dev |	Python-2	|NA|	part of python|	NA|
readline-common |	GPL v3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/r/readline6/readline6_6.3-8ubuntu2/copyright|
xdg-user-dirs |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/x/xdg-user-dirs/xdg-user-dirs_0.15-2ubuntu6/copyright|
xz-utils |	GPL-2, LGPL-2.1	|openhub.net|	NA|	http://git.tukaani.org/?p=xz.git;a=blob;f=COPYING|
python-secretstorage  | BSD-3-clause | Copyright_File     |  BSD-3-clause(*), |  NA|
python-pyasn1  | GPL-2+,BSD-2-clause | Copyright_File     |  GPL-2+(debian/*),BSD-2-clause(*), |  NA|
python-pyasn1-modules  | BSD-3-Clause,BSD-2-Clause | Copyright_File     |  BSD-2-Clause(*),BSD-3-Clause(debian/*), |  NA|
python-keyrings.alt  | Expat | Copyright_File     |  Expat(*,debian/*), |  NA|
python-asn1crypto  | Expat | Copyright_File     |  Expat(*,asn1crypto/_ordereddict.py,asn1crypto/_elliptic_curve.py,debian/*), |  NA|
libmagic-mgc  | MIT-Old-Style-with-legal-disclaimer-2,BSD-2-Clause-regents,BSD-2-Clause-netbsd,public-domain,BSD-2-Clause-alike | Copyright_File     |  BSD-2-Clause-alike(*,src/apprentice.c,src/ascmagic.c,src/asprintf.c,src/compress.c)"More_than_5_Files_for_this_license",public-domain(src/apptype.c),MIT-Old-Style-with-legal-disclaimer-2(src/strlcat.c,src/strlcpy.c),BSD-2-Clause-regents(src/strcasestr.c),BSD-2-Clause-netbsd(src/cdf.c,src/cdf_time.c,src/der.c,src/der.h,src/readcdf.c)"More_than_5_Files_for_this_license", |  NA|
libperl5.26  | HSIEH-BSD,HSIEH-DERIVATIVE,Artistic-2,LGPL-2.1,Artistic or GPL-1+ or Artistic-dist,GPL-1+ or Artistic or Artistic-dist,DONT-CHANGE-THE-GPL,SDBM-PUBLIC-DOMAIN,Artistic/GPL,GPL-1+ or Artistic, and BSD-3-clause-GENERIC,GPL-1+ or Artistic, and BSD-4-clause-POWERDOG,TEXT-TABS,CC0-1.0,BSD-3-clause-with-weird-numbering,RRA-KEEP-THIS-NOTICE,Expat or GPL-1+ or Artistic,GPL-2+ or Artistic,ZLIB,BZIP,S2P,GPL-1+ or Artistic, and Unicode,Unicode,GPL-3+-WITH-BISON-EXCEPTION,REGCOMP, and GPL-1+ or Artistic,Expat,GPL-1+ or Artistic | Copyright_File     |  Artistic-dist(regen-configure/dist/*),Expat(time64.c,cpan/podlators/t/docs/pod-spelling.t,cpan/podlators/t/docs/pod.t,cpan/podlators/t/docs/synopsis.t,cpan/podlators/t/lib/Test/RRA.pm)"More_than_5_Files_for_this_license",Artistic(cpan/Encode/bin/encguess,ext/File-Glob/*,ext/Pod-Html/*),GPL-1+orArtistic(*,perlio.c,malloc.c,pp_sort.c,mro.c)"More_than_5_Files_for_this_license",SDBM-PUBLIC-DOMAIN(ext/SDBM_File/sdbm/*),GPL-1+orArtistic,andBSD-4-clause-POWERDOG(cpan/Time-Piece/Piece.xs),Unicode(lib/unicore/*.txt,cpan/Unicode-Collate/Collate/allkeys.txt),GPL-2+orArtistic(cpan/Getopt-Long/*,cpan/Tie-File/*),GPL-3+-WITH-BISON-EXCEPTION(perly.h),ExpatorGPL-1+orArtistic(cpan/Locale-Maketext-Simple/*,cpan/Locale-Maketext-Simple/t/po_with_i_default/i_default.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/fr.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/en.po,cpan/Locale-Maketext-Simple/t/po_without_i_default/en.po)"More_than_5_Files_for_this_license",S2P(x2p/s2p.PL),BSD-3-clause-with-weird-numbering(cpan/Sys-Syslog/fallback/syslog.h),GPL-1+orArtisticorArtistic-dist(regen-configure/*),REGCOMP,andGPL-1+orArtistic(regcomp.c,regexec.c),TEXT-TABS(cpan/Text-Tabs/*),ArtisticorGPL-1+orArtistic-dist(regen-configure/U/*),ZLIB(cpan/Compress-Raw-Zlib/zlib-src/*),RRA-KEEP-THIS-NOTICE(cpan/podlators/t/data/snippets/README,pod/perlpodstyle.pod),CC0-1.0(cpan/Test-Simple/lib/Test/use/ok.pm,cpan/Test-Simple/lib/ok.pm),BZIP(cpan/Compress-Raw-Bzip2/bzip2-src/*),DONT-CHANGE-THE-GPL(Copying,pod/perlgpl.pod),BSD-3-clause(ext/File-Glob/bsd_glob.c,ext/File-Glob/bsd_glob.h),GPL-1+orArtistic,andBSD-3-clause-GENERIC(dist/PathTools/Cwd.xs),GPL-1+orArtistic,andUnicode(t/op/split_unicode.t), |  NA|
libgdbm5  | GFDL-1.3+,GPL-3+ | Copyright_File     |  GPL-3+(*,git2chg.awk,debian/*),GFDL-1.3+(doc/*), |  NA|
perl-modules-5.26  | HSIEH-BSD,HSIEH-DERIVATIVE,Artistic-2,LGPL-2.1,Artistic or GPL-1+ or Artistic-dist,GPL-1+ or Artistic or Artistic-dist,DONT-CHANGE-THE-GPL,SDBM-PUBLIC-DOMAIN,Artistic/GPL,GPL-1+ or Artistic, and BSD-3-clause-GENERIC,GPL-1+ or Artistic, and BSD-4-clause-POWERDOG,TEXT-TABS,CC0-1.0,BSD-3-clause-with-weird-numbering,RRA-KEEP-THIS-NOTICE,Expat or GPL-1+ or Artistic,GPL-2+ or Artistic,ZLIB,BZIP,S2P,GPL-1+ or Artistic, and Unicode,Unicode,GPL-3+-WITH-BISON-EXCEPTION,REGCOMP, and GPL-1+ or Artistic,Expat,GPL-1+ or Artistic | Copyright_File     |  Artistic-dist(regen-configure/dist/*),Expat(time64.c,cpan/podlators/t/docs/pod-spelling.t,cpan/podlators/t/docs/pod.t,cpan/podlators/t/docs/synopsis.t,cpan/podlators/t/lib/Test/RRA.pm)"More_than_5_Files_for_this_license",Artistic(cpan/Encode/bin/encguess,ext/File-Glob/*,ext/Pod-Html/*),GPL-1+orArtistic(*,perlio.c,malloc.c,pp_sort.c,mro.c)"More_than_5_Files_for_this_license",SDBM-PUBLIC-DOMAIN(ext/SDBM_File/sdbm/*),GPL-1+orArtistic,andBSD-4-clause-POWERDOG(cpan/Time-Piece/Piece.xs),Unicode(lib/unicore/*.txt,cpan/Unicode-Collate/Collate/allkeys.txt),GPL-2+orArtistic(cpan/Getopt-Long/*,cpan/Tie-File/*),GPL-3+-WITH-BISON-EXCEPTION(perly.h),ExpatorGPL-1+orArtistic(cpan/Locale-Maketext-Simple/*,cpan/Locale-Maketext-Simple/t/po_with_i_default/i_default.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/fr.po,cpan/Locale-Maketext-Simple/t/po_with_i_default/en.po,cpan/Locale-Maketext-Simple/t/po_without_i_default/en.po)"More_than_5_Files_for_this_license",S2P(x2p/s2p.PL),BSD-3-clause-with-weird-numbering(cpan/Sys-Syslog/fallback/syslog.h),GPL-1+orArtisticorArtistic-dist(regen-configure/*),REGCOMP,andGPL-1+orArtistic(regcomp.c,regexec.c),TEXT-TABS(cpan/Text-Tabs/*),ArtisticorGPL-1+orArtistic-dist(regen-configure/U/*),ZLIB(cpan/Compress-Raw-Zlib/zlib-src/*),RRA-KEEP-THIS-NOTICE(cpan/podlators/t/data/snippets/README,pod/perlpodstyle.pod),CC0-1.0(cpan/Test-Simple/lib/Test/use/ok.pm,cpan/Test-Simple/lib/ok.pm),BZIP(cpan/Compress-Raw-Bzip2/bzip2-src/*),DONT-CHANGE-THE-GPL(Copying,pod/perlgpl.pod),BSD-3-clause(ext/File-Glob/bsd_glob.c,ext/File-Glob/bsd_glob.h),GPL-1+orArtistic,andBSD-3-clause-GENERIC(dist/PathTools/Cwd.xs),GPL-1+orArtistic,andUnicode(t/op/split_unicode.t), |  NA|
libgdbm-compat4  | GFDL-1.3+,GPL-3+ | Copyright_File     |  GPL-3+(*,git2chg.awk,debian/*),GFDL-1.3+(doc/*), |  NA|
libpq-dev  | rijndael,imath,BSD-2-clause,BSD-3-clause,blf,nagaysau-ishii,double-metaphone,Custom-Unicode,Custom-pg_dump,Tcl,Custom-regex,PostgreSQL | Copyright_File     |  imath(contrib/pgcrypto/imath.*),blf(contrib/pgcrypto/blf.*),Custom-pg_dump(src/bin/pg_dump/*),Tcl(src/backend/regex/regc_locale.c,src/backend/regex/re_syntax.n),double-metaphone(contrib/fuzzystrmatch/dmetaphone.c),rijndael(contrib/pgcrypto/rijndael.*),Custom-Unicode(src/backend/utils/mb/Unicode/*.txt),PostgreSQL(*),nagaysau-ishii(contrib/pageinspect/btreefuncs.c,contrib/pgrowlocks/*,contrib/pgstattuple/*),Custom-regex(src/backend/regex/*),BSD-2-clause(contrib/pgcrypto/fortuna.*,contrib/pgcrypto/internal*,contrib/pgcrypto/mbuf.*,contrib/pgcrypto/openssl.c,contrib/pgcrypto/pgcrypto.*)"More_than_5_Files_for_this_license",BSD-3-clause(contrib/pgcrypto/crypt-des.c,contrib/pgcrypto/md5.*,contrib/pgcrypto/sha1.*,contrib/pgcrypto/sha2.*), |  NA|
atomicwrites| MIT License (MIT)|pypi.org | NA| NA
attrs| MIT License (MIT)|pypi.org | NA| NA
coverage| Apache Software License (Apache 2.0)|pypi.org | NA| NA
cryptography|BSD or Apache License|Container | NA| NA
enum34|BSD License|Container | NA| NA
funcsigs|ASL|Container | NA| NA
idna|BSD-like|Container | NA| NA
ipaddress|Python Software Foundation License|Container | NA| NA
keyring| MIT License |  Python Software Foundation License|pypi.org | NA| NA
keyrings.alt| MIT License|pypi.org | NA| NA
ldappool| Mozilla Public License 2.0 (MPL 2.0)|pypi.org | NA| NA
more-itertools| MIT License (MIT)|pypi.org | NA| NA
pathlib2|MIT|Container | NA| NA
pip|MIT|Container | NA| NA
pluggy| MIT License (MIT license)|pypi.org | NA| NA
py|MIT license|Container | NA| NA
pyasn1|BSD|Container | NA| NA
pyasn1-modules| BSD License (BSD)|pypi.org | NA| NA
pycrypto| Public Domain (Public domain)|pypi.org | NA| NA
pygobject|GNU LGPL|Container | NA| NA
pytest|MIT license|Container | NA| NA
pytest-cov| BSD License (MIT)|pypi.org | NA| NA
python-ldap|Python style|Container | NA| NA
python-memcached| Python Software Foundation License|pypi.org | NA| NA
pyxdg| GNU Lesser General Public License v2 (LGPLv2)|pypi.org | NA| NA
scandir|New BSD License|Container | NA| NA
SecretStorage|BSD|Container | NA| NA
setuptools| MIT License|pypi.org | NA| NA
six|MIT|Container | NA| NA
wheel|MIT|Container | NA| NA
