Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
ldappool, Mozilla Public License 2.0 (MPL 2.0),pypi.org , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, BSD or Apache License,Container , NA, NA
pip, BSD License,Container , NA, NA
pluggy, ASL,Container , NA, NA
py, BSD-like,Container , NA, NA
pyasn1, Python Software Foundation License,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, Public Domain (Public domain),pypi.org , NA, NA
pygobject, GNU Lesser General Public License v2 or later (LGPLv2+) (GNU LGPL),pypi.org , NA, NA
pytest, MIT License (MIT license),pypi.org , NA, NA
pytest-cov, MIT,Container , NA, NA
python-ldap, MIT,Container , NA, NA
python-memcached, Python Software Foundation License,pypi.org , NA, NA
pyxdg, MIT license,Container , NA, NA
scandir, BSD,Container , NA, NA
SecretStorage, BSD License (BSD 3-Clause License),pypi.org , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, GNU LGPL,Container , NA, NA
wheel, MIT license,Container , NA, NA
Package, BSD License (UNKNOWN),pypi.org , NA, NA
asn1crypto, MIT License (MIT),pypi.org , NA, NA
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, New BSD License,Container , NA, NA
coverage, BSD,Container , NA, NA
cryptography, Apache Software License |  BSD License (BSD or Apache License |  Version 2.0),pypi.org , NA, NA
enum34, MIT,Container , NA, NA
funcsigs, MIT,Container , NA, NA
idna, BSD or Apache License,Container , NA, NA
ipaddress, BSD License,Container , NA, NA
keyring, ASL,Container , NA, NA
keyrings.alt, BSD-like,Container , NA, NA
ldappool, Python Software Foundation License,Container , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, MIT License (MIT),pypi.org , NA, NA
pip, MIT License (MIT),pypi.org , NA, NA
pluggy, MIT License (MIT license),pypi.org , NA, NA
py, MIT,Container , NA, NA
pyasn1, MIT,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, MIT license,Container , NA, NA
pygobject, BSD,Container , NA, NA
pytest, MIT License (MIT license),pypi.org , NA, NA
pytest-cov, BSD License (MIT),pypi.org , NA, NA
python-ldap, GNU LGPL,Container , NA, NA
python-memcached, MIT license,Container , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, Python style,Container , NA, NA
SecretStorage, BSD License (BSD 3-Clause License),pypi.org , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, New BSD License,Container , NA, NA
wheel, BSD,Container , NA, NA
Package, BSD License (UNKNOWN),pypi.org , NA, NA
asn1crypto, MIT,Container , NA, NA
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, BSD-like,Container , NA, NA
coverage, Apache Software License (Apache 2.0),pypi.org , NA, NA
cryptography, Apache Software License |  BSD License (BSD or Apache License |  Version 2.0),pypi.org , NA, NA
enum34, Python Software Foundation License,Container , NA, NA
funcsigs, Apache Software License (ASL),pypi.org , NA, NA
idna, BSD License (BSD-like),pypi.org , NA, NA
ipaddress, Python Software Foundation License (Python Software Foundation License),pypi.org , NA, NA
keyring, MIT License |  Python Software Foundation License,pypi.org , NA, NA
keyrings.alt, MIT License,pypi.org , NA, NA
ldappool, Mozilla Public License 2.0 (MPL 2.0),pypi.org , NA, NA
more-itertools, BSD or Apache License,Container , NA, NA
pathlib2, MIT License (MIT),pypi.org , NA, NA
pip, BSD License,Container , NA, NA
pluggy, MIT,Container , NA, NA
py, ASL,Container , NA, NA
pyasn1, MIT,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, BSD-like,Container , NA, NA
pygobject, MIT license,Container , NA, NA
pytest, Python Software Foundation License,Container , NA, NA
pytest-cov, BSD License (MIT),pypi.org , NA, NA
python-ldap, BSD,Container , NA, NA
python-memcached, Python Software Foundation License,pypi.org , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, BSD License (New BSD License),pypi.org , NA, NA
SecretStorage, BSD License (BSD 3-Clause License),pypi.org , NA, NA
setuptools, MIT License,pypi.org , NA, NA
six, GNU LGPL,Container , NA, NA
wheel, MIT,Container , NA, NA
Package, MIT license,Container , NA, NA
asn1crypto, MIT License (MIT),pypi.org , NA, NA
atomicwrites, MIT License (MIT),pypi.org , NA, NA
attrs, Python style,Container , NA, NA
coverage, MIT license,Container , NA, NA
cryptography, Apache Software License |  BSD License (BSD or Apache License |  Version 2.0),pypi.org , NA, NA
enum34, BSD,Container , NA, NA
funcsigs, Apache Software License (ASL),pypi.org , NA, NA
idna, BSD License (BSD-like),pypi.org , NA, NA
ipaddress, New BSD License,Container , NA, NA
keyring, MIT License |  Python Software Foundation License,pypi.org , NA, NA
keyrings.alt, BSD,Container , NA, NA
ldappool, GNU LGPL,Container , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, MIT license,Container , NA, NA
pip, MIT License (MIT),pypi.org , NA, NA
pluggy, MIT,Container , NA, NA
py, Python style,Container , NA, NA
pyasn1, MIT,Container , NA, NA
pyasn1-modules, BSD License (BSD),pypi.org , NA, NA
pycrypto, Public Domain (Public domain),pypi.org , NA, NA
pygobject, GNU Lesser General Public License v2 or later (LGPLv2+) (GNU LGPL),pypi.org , NA, NA
pytest, MIT License (MIT license),pypi.org , NA, NA
pytest-cov, BSD License (MIT),pypi.org , NA, NA
python-ldap, Python Software Foundation License (Python style),pypi.org , NA, NA
python-memcached, New BSD License,Container , NA, NA
pyxdg, GNU Lesser General Public License v2 (LGPLv2),pypi.org , NA, NA
scandir, BSD License (New BSD License),pypi.org , NA, NA
SecretStorage, BSD,Container , NA, NA
setuptools, BSD or Apache License,Container , NA, NA
six, MIT License (MIT),pypi.org , NA, NA
wheel, BSD License,Container , NA, NA
, MIT,Container , NA, NA
, ASL,Container , NA, NA
, MIT,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, Python style,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, MIT,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, MIT,Container , NA, NA
, BSD License,Container , NA, NA
, MIT license,Container , NA, NA
, ASL,Container , NA, NA
, BSD,Container , NA, NA
, BSD-like,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT license,Container , NA, NA
, MIT,Container , NA, NA
, Python style,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD,Container , NA, NA
, BSD,Container , NA, NA
, GNU LGPL,Container , NA, NA
, MIT,Container , NA, NA
, MIT license,Container , NA, NA
, MIT,Container , NA, NA
, Python style,Container , NA, NA
, BSD or Apache License,Container , NA, NA
, New BSD License,Container , NA, NA
, BSD License,Container , NA, NA
, BSD,Container , NA, NA
, ASL,Container , NA, NA
, BSD-like,Container , NA, NA
, MIT,Container , NA, NA
, Python Software Foundation License,Container , NA, NA
, MIT,Container , NA, NA
keyrings.alt, MIT License,pypi.org , NA, NA
ldappool, Mozilla Public License 2.0 (MPL 2.0),pypi.org , NA, NA
more-itertools, MIT License (MIT),pypi.org , NA, NA
pathlib2, BSD or Apache License,Container , NA, NA
pip, BSD License,Container , NA, NA
